"Experiment","Condition","Metric","PostValue","PaperBaseline","Delta"
"Exp1_2","Free","RMSE","0.10723758012974592","0.09","0.01723758012974592"
"Exp1_2","Free","R2","N/A","0.65","N/A"
"Exp1_2","Limit","RMSE","0.19246012532561324","0.09","0.10246012532561324"
"Exp1_2","Limit","R2","0.621","0.92","-0.299"
"Exp3","Free","RMSE","0.0376896983221209","0.04","-0.0023103016778791"
"Exp3","Free","R2","N/A","0.29","N/A"
"Exp3","Limit","RMSE","0.1759547807968604","0.16","0.0159547807968604"
"Exp3","Limit","R2","N/A","0.62","N/A"
