C,Story,Emotion,Val
1e-05,Boredom,Boredom,0.14285714285714285
1e-05,Boredom,Fear,0.14285714285714285
1e-05,Boredom,Happiness,0.14285714285714285
1e-05,Boredom,Joy,0.14285714285714285
1e-05,Boredom,Pride,0.14285714285714285
1e-05,Boredom,Sadness,0.14285714285714285
1e-05,Boredom,Shame,0.14285714285714285
1e-05,Fear,Boredom,0.14285714285714285
1e-05,Fear,Fear,0.14285714285714285
1e-05,Fear,Happiness,0.14285714285714285
1e-05,Fear,Joy,0.14285714285714285
1e-05,Fear,Pride,0.14285714285714285
1e-05,Fear,Sadness,0.14285714285714285
1e-05,Fear,Shame,0.14285714285714285
1e-05,Happiness,Boredom,0.14285714285714285
1e-05,Happiness,Fear,0.14285714285714285
1e-05,Happiness,Happiness,0.14285714285714285
1e-05,Happiness,Joy,0.14285714285714285
1e-05,Happiness,Pride,0.14285714285714285
1e-05,Happiness,Sadness,0.14285714285714285
1e-05,Happiness,Shame,0.14285714285714285
1e-05,Joy,Boredom,0.14285714285714285
1e-05,Joy,Fear,0.14285714285714285
1e-05,Joy,Happiness,0.14285714285714285
1e-05,Joy,Joy,0.14285714285714285
1e-05,Joy,Pride,0.14285714285714285
1e-05,Joy,Sadness,0.14285714285714285
1e-05,Joy,Shame,0.14285714285714285
1e-05,Pride,Boredom,0.14285714285714285
1e-05,Pride,Fear,0.14285714285714285
1e-05,Pride,Happiness,0.14285714285714285
1e-05,Pride,Joy,0.14285714285714285
1e-05,Pride,Pride,0.14285714285714285
1e-05,Pride,Sadness,0.14285714285714285
1e-05,Pride,Shame,0.14285714285714285
1e-05,Sadness,Boredom,0.14285714285714285
1e-05,Sadness,Fear,0.14285714285714285
1e-05,Sadness,Happiness,0.14285714285714285
1e-05,Sadness,Joy,0.14285714285714285
1e-05,Sadness,Pride,0.14285714285714285
1e-05,Sadness,Sadness,0.14285714285714285
1e-05,Sadness,Shame,0.14285714285714285
1e-05,Shame,Boredom,0.14285714285714285
1e-05,Shame,Fear,0.14285714285714285
1e-05,Shame,Happiness,0.14285714285714285
1e-05,Shame,Joy,0.14285714285714285
1e-05,Shame,Pride,0.14285714285714285
1e-05,Shame,Sadness,0.14285714285714285
1e-05,Shame,Shame,0.14285714285714285
0.03217322297399027,Boredom,Boredom,0.9993467084305198
0.03217322297399027,Boredom,Fear,0.0001584266691253239
0.03217322297399027,Boredom,Happiness,1.4551927595778995e-05
0.03217322297399027,Boredom,Joy,5.919123133112877e-05
0.03217322297399027,Boredom,Pride,0.00024838261022814884
0.03217322297399027,Boredom,Sadness,8.578565860228623e-05
0.03217322297399027,Boredom,Shame,8.695347259783309e-05
0.03217322297399027,Fear,Boredom,0.0009209922863923966
0.03217322297399027,Fear,Fear,0.9471008726095884
0.03217322297399027,Fear,Happiness,0.0008253770647968254
0.03217322297399027,Fear,Joy,0.0018463260665992581
0.03217322297399027,Fear,Pride,0.0007382257164015471
0.03217322297399027,Fear,Sadness,0.03788368805506569
0.03217322297399027,Fear,Shame,0.010684518201155825
0.03217322297399027,Happiness,Boredom,0.006334263493366819
0.03217322297399027,Happiness,Fear,0.00011421266966031893
0.03217322297399027,Happiness,Happiness,0.8975170773501853
0.03217322297399027,Happiness,Joy,0.00039444670824734967
0.03217322297399027,Happiness,Pride,0.09525559170904821
0.03217322297399027,Happiness,Sadness,9.528523672696632e-05
0.03217322297399027,Happiness,Shame,0.00028912283276500306
0.03217322297399027,Joy,Boredom,0.0019984530042631253
0.03217322297399027,Joy,Fear,0.0925903025559327
0.03217322297399027,Joy,Happiness,0.006206471723863879
0.03217322297399027,Joy,Joy,0.27066126092730297
0.03217322297399027,Joy,Pride,0.21868393995075575
0.03217322297399027,Joy,Sadness,0.0073384563082288645
0.03217322297399027,Joy,Shame,0.4025211155296529
0.03217322297399027,Pride,Boredom,0.0007473707664078619
0.03217322297399027,Pride,Fear,0.019453857483869616
0.03217322297399027,Pride,Happiness,0.0025743821010977648
0.03217322297399027,Pride,Joy,0.022010549715339518
0.03217322297399027,Pride,Pride,0.31307512205714527
0.03217322297399027,Pride,Sadness,0.00504997696967677
0.03217322297399027,Pride,Shame,0.6370887409064632
0.03217322297399027,Sadness,Boredom,4.939237451800809e-05
0.03217322297399027,Sadness,Fear,0.0032113414157891812
0.03217322297399027,Sadness,Happiness,9.152148208091919e-05
0.03217322297399027,Sadness,Joy,0.00016388730477728215
0.03217322297399027,Sadness,Pride,0.000186195421776569
0.03217322297399027,Sadness,Sadness,0.9959610161340908
0.03217322297399027,Sadness,Shame,0.0003366458669671003
0.03217322297399027,Shame,Boredom,0.001206471809446921
0.03217322297399027,Shame,Fear,0.17031862190892225
0.03217322297399027,Shame,Happiness,0.0014503615655972611
0.03217322297399027,Shame,Joy,0.0036440872618854247
0.03217322297399027,Shame,Pride,0.037243543734141134
0.03217322297399027,Shame,Sadness,0.004602276845741979
0.03217322297399027,Shame,Shame,0.7815346368742648
1e-05,Boredom,Boredom,0.14285714285714285
1e-05,Boredom,Fear,0.14285714285714285
1e-05,Boredom,Happiness,0.14285714285714285
1e-05,Boredom,Joy,0.14285714285714285
1e-05,Boredom,Pride,0.14285714285714285
1e-05,Boredom,Sadness,0.14285714285714285
1e-05,Boredom,Shame,0.14285714285714285
1e-05,Fear,Boredom,0.14285714285714285
1e-05,Fear,Fear,0.14285714285714285
1e-05,Fear,Happiness,0.14285714285714285
1e-05,Fear,Joy,0.14285714285714285
1e-05,Fear,Pride,0.14285714285714285
1e-05,Fear,Sadness,0.14285714285714285
