C,Story,Emotion,Val
0.08179988134178422,Boredom,Boredom,0.9988549546402867
0.08179988134178422,Boredom,Fear,0.00026972577603782976
0.08179988134178422,Boredom,Happiness,3.4190233813636024e-05
0.08179988134178422,Boredom,Joy,0.00011976058501134292
0.08179988134178422,Boredom,Pride,0.00038964881155997063
0.08179988134178422,Boredom,Sadness,0.00016724569821699445
0.08179988134178422,Boredom,Shame,0.00016447425507315125
0.08179988134178422,Fear,Boredom,0.0011888045633520856
0.08179988134178422,Fear,Fear,0.9391955861074355
0.08179988134178422,Fear,Happiness,0.000931735073677971
0.08179988134178422,Fear,Joy,0.0021126877061793505
0.08179988134178422,Fear,Pride,0.001114249756215178
0.08179988134178422,Fear,Sadness,0.04199302796067826
0.08179988134178422,Fear,Shame,0.01346390883246197
0.08179988134178422,Happiness,Boredom,0.007264408649948693
0.08179988134178422,Happiness,Fear,0.00030540575761272204
0.08179988134178422,Happiness,Happiness,0.8895081003741786
0.08179988134178422,Happiness,Joy,0.0006374945054762621
0.08179988134178422,Happiness,Pride,0.10145720886090365
0.08179988134178422,Happiness,Sadness,0.0002660903629130932
0.08179988134178422,Happiness,Shame,0.000561291488967029
0.08179988134178422,Joy,Boredom,0.0022149665566784885
0.08179988134178422,Joy,Fear,0.10280476276403892
0.08179988134178422,Joy,Happiness,0.006427573360237216
0.08179988134178422,Joy,Joy,0.27029935099336644
0.08179988134178422,Joy,Pride,0.2508971088482615
0.08179988134178422,Joy,Sadness,0.00883100197123233
0.08179988134178422,Joy,Shame,0.3585252355061851
0.08179988134178422,Pride,Boredom,0.0013754799179654408
0.08179988134178422,Pride,Fear,0.02612198475188364
0.08179988134178422,Pride,Happiness,0.003947269922810778
0.08179988134178422,Pride,Joy,0.02676094524214873
0.08179988134178422,Pride,Pride,0.37367026776694956
0.08179988134178422,Pride,Sadness,0.00779465021132042
0.08179988134178422,Pride,Shame,0.5603294021869216
0.08179988134178422,Sadness,Boredom,8.224676647587172e-05
0.08179988134178422,Sadness,Fear,0.003087593636160192
0.08179988134178422,Sadness,Happiness,0.00013313518536801886
0.08179988134178422,Sadness,Joy,0.00023591641130664268
0.08179988134178422,Sadness,Pride,0.00027329941272666726
0.08179988134178422,Sadness,Sadness,0.9957743901781229
0.08179988134178422,Sadness,Shame,0.0004134184098397226
0.08179988134178422,Shame,Boredom,0.0016625439558519341
0.08179988134178422,Shame,Fear,0.14900333802433569
0.08179988134178422,Shame,Happiness,0.0017111594399212946
0.08179988134178422,Shame,Joy,0.004526701507724343
0.08179988134178422,Shame,Pride,0.03922504086636003
0.08179988134178422,Shame,Sadness,0.005977038153012652
0.08179988134178422,Shame,Shame,0.7978941780527943
0.20585499424695314,Boredom,Boredom,0.9988388788551829
0.20585499424695314,Boredom,Fear,0.0002955493177722074
0.20585499424695314,Boredom,Happiness,5.008826633382003e-05
0.20585499424695314,Boredom,Joy,0.0001265777830967786
0.20585499424695314,Boredom,Pride,0.00034906432573623926
0.20585499424695314,Boredom,Sadness,0.00017137458079344002
0.20585499424695314,Boredom,Shame,0.00016846687108477285
0.20585499424695314,Fear,Boredom,0.0012861883403615106
0.20585499424695314,Fear,Fear,0.9429447120231113
0.20585499424695314,Fear,Happiness,0.0008827456756462433
0.20585499424695314,Fear,Joy,0.002143110608967842
0.20585499424695314,Fear,Pride,0.0010891697966739066
0.20585499424695314,Fear,Sadness,0.03867546507139668
0.20585499424695314,Fear,Shame,0.012978608483842588
0.20585499424695314,Happiness,Boredom,0.008440111642663846
0.20585499424695314,Happiness,Fear,0.00035049016731644397
0.20585499424695314,Happiness,Happiness,0.8739126667835574
0.20585499424695314,Happiness,Joy,0.0007204386500625726
0.20585499424695314,Happiness,Pride,0.11559653801908226
0.20585499424695314,Happiness,Sadness,0.0003321855128033971
0.20585499424695314,Happiness,Shame,0.0006475692245140025
0.20585499424695314,Joy,Boredom,0.0023386212963248994
0.20585499424695314,Joy,Fear,0.10618963396366314
0.20585499424695314,Joy,Happiness,0.006741276543871962
0.20585499424695314,Joy,Joy,0.28232173925723
0.20585499424695314,Joy,Pride,0.28880781623145046
0.20585499424695314,Joy,Sadness,0.009335116268864347
0.20585499424695314,Joy,Shame,0.3042657964385951
0.20585499424695314,Pride,Boredom,0.001814518093423849
0.20585499424695314,Pride,Fear,0.031486764560565136
0.20585499424695314,Pride,Happiness,0.004802261815090878
0.20585499424695314,Pride,Joy,0.02408538739749071
0.20585499424695314,Pride,Pride,0.4763452338815313
0.20585499424695314,Pride,Sadness,0.010153719079990773
0.20585499424695314,Pride,Shame,0.45131211517190717
0.20585499424695314,Sadness,Boredom,9.342266115128159e-05
0.20585499424695314,Sadness,Fear,0.0035607887173365995
0.20585499424695314,Sadness,Happiness,0.0001395302041449283
0.20585499424695314,Sadness,Joy,0.0002407223290484721
0.20585499424695314,Sadness,Pride,0.0002716008388947128
0.20585499424695314,Sadness,Sadness,0.9951832406634422
0.20585499424695314,Sadness,Shame,0.0005106945859815279
0.20585499424695314,Shame,Boredom,0.0011735144725835533
0.20585499424695314,Shame,Fear,0.10283954111663815
0.20585499424695314,Shame,Happiness,0.000986500419178625
0.20585499424695314,Shame,Joy,0.003451254761148471
0.20585499424695314,Shame,Pride,0.02995266310055569
0.20585499424695314,Shame,Sadness,0.004339315523523808
0.20585499424695314,Shame,Shame,0.8572572106063717
0.19321823015780715,Boredom,Boredom,0.9988604403137274
0.19321823015780715,Boredom,Fear,0.0002926087342712229
0.19321823015780715,Boredom,Happiness,4.5866642779749373e-05
0.19321823015780715,Boredom,Joy,0.00012627418537312595
0.19321823015780715,Boredom,Pride,0.00034062722576302495
0.19321823015780715,Boredom,Sadness,0.00016524393426839694
0.19321823015780715,Boredom,Shame,0.00016893896381702924
0.19321823015780715,Fear,Boredom,0.0012624874905884597
0.19321823015780715,Fear,Fear,0.9439860081008079
0.19321823015780715,Fear,Happiness,0.0008883546146049218
0.19321823015780715,Fear,Joy,0.002086706857101798
0.19321823015780715,Fear,Pride,0.001064353502118515
0.19321823015780715,Fear,Sadness,0.03832825420030587
0.19321823015780715,Fear,Shame,0.012383835234472519
0.19321823015780715,Happiness,Boredom,0.008448249741292243
0.19321823015780715,Happiness,Fear,0.00035391574238051335
0.19321823015780715,Happiness,Happiness,0.8710309091903936
0.19321823015780715,Happiness,Joy,0.0007111675259263028
0.19321823015780715,Happiness,Pride,0.11846193381288836
0.19321823015780715,Happiness,Sadness,0.00033247548137627515
0.19321823015780715,Happiness,Shame,0.0006613485057423614
0.19321823015780715,Joy,Boredom,0.0021811102058017368
0.19321823015780715,Joy,Fear,0.10596515724266667
0.19321823015780715,Joy,Happiness,0.006562076276047284
0.19321823015780715,Joy,Joy,0.278167653098288
0.19321823015780715,Joy,Pride,0.2869523178313056
0.19321823015780715,Joy,Sadness,0.009016626460558227
0.19321823015780715,Joy,Shame,0.3111550588853325
0.19321823015780715,Pride,Boredom,0.0017052565195452036
0.19321823015780715,Pride,Fear,0.029985492840167383
0.19321823015780715,Pride,Happiness,0.004585041471305109
0.19321823015780715,Pride,Joy,0.024254515466468313
0.19321823015780715,Pride,Pride,0.4610578301274444
0.19321823015780715,Pride,Sadness,0.00978704703077993
0.19321823015780715,Pride,Shame,0.46862481654428945
0.19321823015780715,Sadness,Boredom,8.934786515521117e-05
0.19321823015780715,Sadness,Fear,0.0035024789310158315
0.19321823015780715,Sadness,Happiness,0.00013853996771679162
0.19321823015780715,Sadness,Joy,0.00023914613658994826
0.19321823015780715,Sadness,Pride,0.0002856242969645822
0.19321823015780715,Sadness,Sadness,0.9952380230210115
0.19321823015780715,Sadness,Shame,0.0005068397815463998
0.19321823015780715,Shame,Boredom,0.001191048143086252
0.19321823015780715,Shame,Fear,0.10621737867411538
0.19321823015780715,Shame,Happiness,0.0010050092484577666
0.19321823015780715,Shame,Joy,0.0034722594831784696
0.19321823015780715,Shame,Pride,0.031172486892802668
0.19321823015780715,Shame,Sadness,0.004377142225838625
0.19321823015780715,Shame,Shame,0.8525646753325208
0.030841602587624105,Boredom,Boredom,0.9989452872877618
0.030841602587624105,Boredom,Fear,0.0002575209614856556
0.030841602587624105,Boredom,Happiness,8.684498741212732e-06
0.030841602587624105,Boredom,Joy,0.00011312978559581008
0.030841602587624105,Boredom,Pride,0.0003499472698048889
0.030841602587624105,Boredom,Sadness,0.0001628371838341033
0.030841602587624105,Boredom,Shame,0.000162593012776784
0.030841602587624105,Fear,Boredom,0.0011032349884333135
0.030841602587624105,Fear,Fear,0.9420348795969525
0.030841602587624105,Fear,Happiness,0.0009584495599732529
0.030841602587624105,Fear,Joy,0.0019568102570826293
0.030841602587624105,Fear,Pride,0.001029717702398964
0.030841602587624105,Fear,Sadness,0.03905224978904185
0.030841602587624105,Fear,Shame,0.013864658106117488
0.030841602587624105,Happiness,Boredom,0.010600708077886834
0.030841602587624105,Happiness,Fear,0.00033265198059430026
0.030841602587624105,Happiness,Happiness,0.8600327181952485
0.030841602587624105,Happiness,Joy,0.0008911748207544396
