C,Story,Emotion,Val
0.013893507121868194,Boredom,Boredom,0.99915192198396
0.013893507121868194,Boredom,Fear,0.00013125741840442885
0.013893507121868194,Boredom,Happiness,2.4029664255714273e-06
0.013893507121868194,Boredom,Joy,0.0001856917821089866
0.013893507121868194,Boredom,Pride,0.0001420210736670861
0.013893507121868194,Boredom,Sadness,9.174547707396614e-05
0.013893507121868194,Boredom,Shame,0.0002949592983604023
0.013893507121868194,Fear,Boredom,0.0003715504627772135
0.013893507121868194,Fear,Fear,0.9820368626654625
0.013893507121868194,Fear,Happiness,0.0004706688580935555
0.013893507121868194,Fear,Joy,0.0005691812940229337
0.013893507121868194,Fear,Pride,0.0006904023816939432
0.013893507121868194,Fear,Sadness,0.003920826297637774
0.013893507121868194,Fear,Shame,0.011940508040312084
0.013893507121868194,Happiness,Boredom,0.008301055752473295
0.013893507121868194,Happiness,Fear,0.0004461093326012397
0.013893507121868194,Happiness,Happiness,0.918492470206357
0.013893507121868194,Happiness,Joy,0.0007270944896082844
0.013893507121868194,Happiness,Pride,0.019405369228400277
0.013893507121868194,Happiness,Sadness,0.0008549873745141263
0.013893507121868194,Happiness,Shame,0.05177291361604602
0.013893507121868194,Joy,Boredom,0.00038002934643360776
0.013893507121868194,Joy,Fear,0.0014404040701493572
0.013893507121868194,Joy,Happiness,0.0011498967825292945
0.013893507121868194,Joy,Joy,0.660018648765726
0.013893507121868194,Joy,Pride,0.31195041422162884
0.013893507121868194,Joy,Sadness,0.0009612314973521606
0.013893507121868194,Joy,Shame,0.024099375316180477
0.013893507121868194,Pride,Boredom,0.00200817185670199
0.013893507121868194,Pride,Fear,0.0017239659441684089
0.013893507121868194,Pride,Happiness,0.0029932387308972933
0.013893507121868194,Pride,Joy,0.019698624339505078
0.013893507121868194,Pride,Pride,0.8511559986488534
0.013893507121868194,Pride,Sadness,0.0018957312751874615
0.013893507121868194,Pride,Shame,0.12052426920468635
0.013893507121868194,Sadness,Boredom,0.0001530558337703835
0.013893507121868194,Sadness,Fear,0.003848421069289361
0.013893507121868194,Sadness,Happiness,0.0002817145795793156
0.013893507121868194,Sadness,Joy,0.0005608975263402701
0.013893507121868194,Sadness,Pride,0.0006151521309557226
0.013893507121868194,Sadness,Sadness,0.9861799401653215
0.013893507121868194,Sadness,Shame,0.008360818694743328
0.013893507121868194,Shame,Boredom,0.000567776798704133
0.013893507121868194,Shame,Fear,0.8110637214645283
0.013893507121868194,Shame,Happiness,0.0005396348421130015
0.013893507121868194,Shame,Joy,0.000708264183812727
0.013893507121868194,Shame,Pride,0.0010425837570664546
0.013893507121868194,Shame,Sadness,0.003959234649931829
0.013893507121868194,Shame,Shame,0.18211878430384318
0.01475920890582747,Boredom,Boredom,0.9991582636287424
0.01475920890582747,Boredom,Fear,0.0001342018057016997
0.01475920890582747,Boredom,Happiness,2.436200287380818e-06
0.01475920890582747,Boredom,Joy,0.00018491496015433443
0.01475920890582747,Boredom,Pride,0.00013942775349966503
0.01475920890582747,Boredom,Sadness,9.260594431702883e-05
0.01475920890582747,Boredom,Shame,0.00028814970729730414
0.01475920890582747,Fear,Boredom,0.000360861800610582
0.01475920890582747,Fear,Fear,0.9827678116177155
0.01475920890582747,Fear,Happiness,0.00046965430080217837
0.01475920890582747,Fear,Joy,0.0005022491293117657
0.01475920890582747,Fear,Pride,0.0006953210173098948
0.01475920890582747,Fear,Sadness,0.003906053224092703
0.01475920890582747,Fear,Shame,0.01129804891015774
0.01475920890582747,Happiness,Boredom,0.008554619495054913
0.01475920890582747,Happiness,Fear,0.0004297102489369059
0.01475920890582747,Happiness,Happiness,0.9122390440035147
0.01475920890582747,Happiness,Joy,0.0006824268264930391
0.01475920890582747,Happiness,Pride,0.02021560320582612
0.01475920890582747,Happiness,Sadness,0.0008243344388656442
0.01475920890582747,Happiness,Shame,0.0570542617813089
0.01475920890582747,Joy,Boredom,0.0002607390728653553
0.01475920890582747,Joy,Fear,0.0013268227911157544
0.01475920890582747,Joy,Happiness,0.0008762349005384666
0.01475920890582747,Joy,Joy,0.520308778293413
0.01475920890582747,Joy,Pride,0.4540837433152814
0.01475920890582747,Joy,Sadness,0.0007593831016497032
0.01475920890582747,Joy,Shame,0.022384298525136535
0.01475920890582747,Pride,Boredom,0.0015634208355606882
0.01475920890582747,Pride,Fear,0.0014741774203587987
0.01475920890582747,Pride,Happiness,0.0012324500500080736
0.01475920890582747,Pride,Joy,0.0032580123367970458
0.01475920890582747,Pride,Pride,0.845919344702054
0.01475920890582747,Pride,Sadness,0.0013553177823119329
0.01475920890582747,Pride,Shame,0.14519727687290968
0.01475920890582747,Sadness,Boredom,0.00014354587374384368
0.01475920890582747,Sadness,Fear,0.003897153300477038
0.01475920890582747,Sadness,Happiness,0.0002876676754457642
0.01475920890582747,Sadness,Joy,0.0005595195202802168
0.01475920890582747,Sadness,Pride,0.0006229071419436997
0.01475920890582747,Sadness,Sadness,0.9859693622323302
0.01475920890582747,Sadness,Shame,0.008519844255779153
0.01475920890582747,Shame,Boredom,0.0005499758730727091
0.01475920890582747,Shame,Fear,0.8137749827738386
0.01475920890582747,Shame,Happiness,0.0005359998580233932
0.01475920890582747,Shame,Joy,0.0006070601786070679
0.01475920890582747,Shame,Pride,0.001038095158542047
0.01475920890582747,Shame,Sadness,0.003956728821559491
0.01475920890582747,Shame,Shame,0.17953715733635686
0.014818764018509204,Boredom,Boredom,0.9991576188902447
0.014818764018509204,Boredom,Fear,0.00013363586256885337
0.014818764018509204,Boredom,Happiness,2.437519981333812e-06
0.014818764018509204,Boredom,Joy,0.00018504831807349058
0.014818764018509204,Boredom,Pride,0.00014163951847796997
0.014818764018509204,Boredom,Sadness,9.227109780121596e-05
0.014818764018509204,Boredom,Shame,0.00028734879285254153
0.014818764018509204,Fear,Boredom,0.0003620279013061312
0.014818764018509204,Fear,Fear,0.9826871299957599
0.014818764018509204,Fear,Happiness,0.00046747888555965996
0.014818764018509204,Fear,Joy,0.0005064082192152095
0.014818764018509204,Fear,Pride,0.0007030568584455589
0.014818764018509204,Fear,Sadness,0.003895197053308246
0.014818764018509204,Fear,Shame,0.011378701086405511
0.014818764018509204,Happiness,Boredom,0.00872753431068471
0.014818764018509204,Happiness,Fear,0.0004334898600148331
0.014818764018509204,Happiness,Happiness,0.9105901609585626
0.014818764018509204,Happiness,Joy,0.000692184772378516
0.014818764018509204,Happiness,Pride,0.020859199248899268
0.014818764018509204,Happiness,Sadness,0.0008336510112276077
0.014818764018509204,Happiness,Shame,0.057863779838232855
0.014818764018509204,Joy,Boredom,0.00027070941341998396
0.014818764018509204,Joy,Fear,0.0013208526286773781
0.014818764018509204,Joy,Happiness,0.0009014083300402172
0.014818764018509204,Joy,Joy,0.5322901479840053
0.014818764018509204,Joy,Pride,0.4414909014876457
0.014818764018509204,Joy,Sadness,0.0007724743518265069
0.014818764018509204,Joy,Shame,0.022953505804384846
0.014818764018509204,Pride,Boredom,0.0015730411220934836
0.014818764018509204,Pride,Fear,0.001474050551061994
0.014818764018509204,Pride,Happiness,0.0013254166804769702
0.014818764018509204,Pride,Joy,0.0038892954898517374
0.014818764018509204,Pride,Pride,0.8446902572715788
0.014818764018509204,Pride,Sadness,0.0013669936480489094
0.014818764018509204,Pride,Shame,0.14568094523688854
0.014818764018509204,Sadness,Boredom,0.00014442573801618904
0.014818764018509204,Sadness,Fear,0.003895644381196452
0.014818764018509204,Sadness,Happiness,0.00028764312136974707
0.014818764018509204,Sadness,Joy,0.0005611053797031341
0.014818764018509204,Sadness,Pride,0.0006175478039950937
0.014818764018509204,Sadness,Sadness,0.9858970679751745
0.014818764018509204,Sadness,Shame,0.008596565600545017
0.014818764018509204,Shame,Boredom,0.0005515584737561121
0.014818764018509204,Shame,Fear,0.8129909088707458
0.014818764018509204,Shame,Happiness,0.0005335392730070154
0.014818764018509204,Shame,Joy,0.0006127908747573296
0.014818764018509204,Shame,Pride,0.0010474095314533546
0.014818764018509204,Shame,Sadness,0.003943941636407855
0.014818764018509204,Shame,Shame,0.18031985133987272
0.01302811162966093,Boredom,Boredom,0.9991578908725074
0.01302811162966093,Boredom,Fear,0.00013008208268174768
0.01302811162966093,Boredom,Happiness,2.3796242768026467e-06
0.01302811162966093,Boredom,Joy,0.00018544639814733517
0.01302811162966093,Boredom,Pride,0.0001399960251816118
0.01302811162966093,Boredom,Sadness,8.822326255407504e-05
0.01302811162966093,Boredom,Shame,0.00029598173465105316
0.01302811162966093,Fear,Boredom,0.00037694681109245684
0.01302811162966093,Fear,Fear,0.9816133513081183
0.01302811162966093,Fear,Happiness,0.00047644644793755423
0.01302811162966093,Fear,Joy,0.0005890621893411693
0.01302811162966093,Fear,Pride,0.000672969731877548
0.01302811162966093,Fear,Sadness,0.003976662426478585
0.01302811162966093,Fear,Shame,0.012294561085154301
0.01302811162966093,Happiness,Boredom,0.008123905180872977
0.01302811162966093,Happiness,Fear,0.000485061173413255
0.01302811162966093,Happiness,Happiness,0.9216148702792865
0.01302811162966093,Happiness,Joy,0.0007859972589031082
0.01302811162966093,Happiness,Pride,0.018464979399914615
0.01302811162966093,Happiness,Sadness,0.000882202056691184
0.01302811162966093,Happiness,Shame,0.04964298465091893
0.01302811162966093,Joy,Boredom,0.00042165798136946695
0.01302811162966093,Joy,Fear,0.0014410036659571798
